Fagans,53.36757,-6.2562008
The Millmount House,53.3689907,-6.2555208
The Old Spot,53.337391,-6.233144
The Gasworks,53.3380176,-6.2373045
Slatterys,53.337233,-6.2342822
The Chophouse,53.3371405,-6.2339809
Sally's Return,53.3422895,-6.2276736
The Bath,53.3374484,-6.2320895
The Yacht Bar,53.3616926,-6.2154033
Connolly's,53.3590309,-6.1956528
Bru House,53.3634932,-6.2357586
Gaffneys,53.363045,-6.2363922
Harry Byrnes,53.3668709,-6.2160829
Artane House,53.3841056,-6.2138198
Beachcomber,53.3708212,-6.2059554
The Ramble Inn,53.3753726,-6.2095208
The Dark Horse,53.2997582,-6.1795595
The Three Tun Tavern,53.300509,-6.1770132
Goggins Inn,53.2934837,-6.154737
The Pub@FXB,53.2940729,-6.1534662
Gilbert and Wright,53.294707,-6.1415713
Frank Mc Kenna,53.2947067,-6.1393255
The Lighthouse,53.2932493,-6.1372462
Dunphy's,53.2931102,-6.1389658
The Watermill,53.3796741,-6.1771076
The Cock and Bull,53.3804304,-6.1748096
Bayside Inn,53.388752,-6.1412109
The Towers,53.3956545,-6.2650852
Racecourse Inn,53.3967523,-6.1372804
Downeys,53.3419956,-6.3576806
The Dawson Lounge,53.3397164,-6.2588239
Pavillion Bar,53.3425893,-6.2530833
Ely Wine Bar,53.3378674,-6.2540165
37 Dawson Street,53.3404796,-6.2586464
Toddy's Bar,53.3517861,-6.2608266
The Metro,53.3531994,-6.2603488
Andrews Lane Theatre,53.3432533,-6.2625158
Howl at the Moon,53.3390269,-6.2454397
The Harbourmaster,53.3497415,-6.2490911
Le Monde,53.350062,-6.252673
The Punch Bowl,53.3087656,-6.1966601
The Lombard,53.3441892,-6.2490239
Palmerstown House,53.3563585,-6.3705141
Silver Granite,53.3500748,-6.3774029
The Barge Bar,53.3305512,-6.2605878
The Viscount,53.3809524,-6.2456914
The George,53.3437938,-6.2646675
Nolita,53.3424409,-6.2647473
J.W. Sweetman Craft Brewery,53.3469782,-6.2582006
Goose Tavern,53.3756968,-6.2398873
Graingers,53.3680334,-6.2268636
Marino House (Kavanagh's),53.365756,-6.2288162
The Yellow House,53.2967,-6.284926
The Clubhouse,53.3082485,-6.22707
The Front Lounge,53.3444281,-6.267547
Beaumont House,53.3856539,-6.2329985
Club M,53.3448128,-6.2623304
The Auld Dubliner,53.3455629,-6.2619775
The Temple Bar,53.3454662,-6.2642025
Ha'penny Bridge Inn,53.345849,-6.2633708
The Lower Deck,53.3306945,-6.2653793
Knightsbridge Bar,53.3472531,-6.2609685
The Quill (Closed),53.3459851,-6.2758069
