53.35031850000001 -6.2584515, The Confession Box
53.350407499999996 -6.2597878, Branigan's
53.35187220000001 -6.2607621, Toddy's Bar & Brasserie
53.3523431 -6.2609615, Murrays
53.3530483 -6.2608019, The Shakespeare
53.352911999999996 -6.260365, Fibber Magee's
53.35322360000001 -6.260441200000001, The Metro
53.3533856 -6.2601713, O'Reilley's - The Deer's Head
53.352307999999994 -6.2604120000000005, The Living Room
53.3514331 -6.2605934, Madigans
53.3521853 -6.262051400000001, Parnell Heritage Pub
53.354293799999994 -6.262992, Cheers
53.355220200000005 -6.2604108, Stoney's
53.354953200000004 -6.2572254, Hill 16
53.350038 -6.259441000000001, Madigan's (A)
53.348973 -6.258864, The Sackville Lounge
53.348840100000004 -6.2578449, The Flowing Tide
53.348672 -6.2587019999999995, Madigan's (B)
53.3483218 -6.2591879, The Grand Central Bar
53.3484553 -6.2603205, The Oval
53.347467 -6.2601796, Bachelor Inn
53.347440299999995 -6.2602855, O'Connell's (B)
53.347253099999996 -6.2609685, Knightsbridge Bar
53.347291299999995 -6.2609008, Arlington Bar & Restaurant
53.3479963 -6.257884099999999, Lanigans
53.34797270000001 -6.257976, Clifton Court Bar
53.3483395 -6.256003400000001, The Pint
53.347327299999996 -6.2547825, The Workshop
53.34694720000001 -6.255561599999999, Mulligan's
53.34709720000001 -6.254074, O'Reilly's Sub Lounge
53.3460494 -6.255684400000001, The Long Stone
53.3459878 -6.2553324, Ruin Bar
53.346201199999996 -6.2572218, Chaplin's
53.3465386 -6.2572609, Tramline
53.345792700000004 -6.2579377, Bowes
53.345781 -6.257568099999999, Doyle's
53.34572560000001 -6.257681099999999, O'Donohoe's
53.3464453 -6.2578726, Play Night Club
53.34384250000001 -6.2607432, O'Neills
53.343437 -6.2597401, O'Donoghues
53.3430105 -6.2589346, Porterhouse Central
53.3419794 -6.258672799999999, The Duke (Gilligan's)
53.3418397 -6.2593595, Davy Byrne's
53.34201379999999 -6.2594743, The Bailey
53.341618000000004 -6.259124, Lemon & Duke
53.3411866 -6.2594946, Kehoe's
53.340513 -6.259733, Zozimos
53.3406572 -6.2612015, Neary's
53.3409542 -6.261812, Sheehan's
53.3410488 -6.2624558, Bar Rua
53.340886899999994 -6.2632389, Peter's Pub
53.340424 -6.263196, Harry's on the Green
53.3412009 -6.2642907999999995, P Macs
53.341095499999994 -6.2641191, Break for the Border
53.3412574 -6.2638352, The Hairy Lemon
53.34189 -6.263488, Drury Buildings
53.342110999999996 -6.263953, The Market Bar
53.341885399999995 -6.2641559, The Secret Bar / The Bar With No Name
53.342105000000004 -6.2641089999999995, Idlewild
53.341969999999996 -6.264324, L'Gueuleton
53.3419933 -6.2646102, Hogan's Bar
53.3424409 -6.2647473, Nolita
53.342256400000004 -6.2643631, Chelsea Drugstore
53.341833900000005 -6.2653944, The Long Hall
53.3412997 -6.2653194, The Capitol Lounge
53.34142489999999 -6.2657823, The Snug Bar
53.3405863 -6.2654252999999995, J.J. Smyth
53.3402121 -6.265596400000001, Delaneys (B)
53.339616299999996 -6.265704599999999, The Swan Bar (Lynch)
53.3408345 -6.2681589, Sure Bar
53.3374409 -6.2659032, Karma Stone Bar
53.3369586 -6.2657049, The Jar
53.3370675 -6.265418, Against The Grain
53.33670179999999 -6.2656562000000005, Opium
53.336328 -6.2655559, Ryan's Lounge
53.3361055 -6.2651522, Flannery's
53.33592320000001 -6.2655080000000005, The Palace
53.336068999999995 -6.265536, Jimmy Rabbite's
53.3365488 -6.2658468, Whelan's
53.33557020000001 -6.2653919, The Cusack Stand (Devitts)
53.335322600000005 -6.264995, Anseo
53.33512420000001 -6.2654081, Camden Exchange
53.3340323 -6.265071099999999, Cassidy's (B)
53.33349079999999 -6.2647676, The Bleeding Horse
53.33311379999999 -6.264771700000001, C Central
53.334385899999994 -6.2629409, D-Two
53.33411949999999 -6.2630443, The Black Door
53.3351615 -6.2634856, Everleigh Garden
53.335436 -6.263509099999999, Copper Face Jacks
53.3359505 -6.2633588, Diceys
53.3360106 -6.2634085, Krystle
53.3374044 -6.2634682, Magic Glasses
53.3395917 -6.261278, Dandelion
53.3400902 -6.2617022, Sinnott's
53.3397572 -6.2588713, Dawson Lounge
53.340074 -6.25868, Peruke and Periwig
53.340196999999996 -6.2588312, La Ruelle
53.340464100000005 -6.2587918, Sams Bar
53.34052 -6.258678, 37 Dawson Street
53.340726100000005 -6.2586791, Café en Seine
53.341343099999996 -6.260884900000001, Bruxelles
53.341201500000004 -6.2610491999999995, McDaid's
53.341993200000005 -6.261525700000001, Berlin
53.342172 -6.2623045, Pygmalion
53.3422228 -6.2627154, J. Grogan's
53.342562 -6.262383, Alfie's
53.342490000000005 -6.262201999999999, Farrier and Draper
53.342663 -6.262359, Dakota
53.3431296 -6.262190900000001, The Old Stand
53.343117299999996 -6.2618563, The International
53.3426488 -6.262991, The Rag Trader
53.341878099999995 -6.2626471, The South William
53.3434027 -6.2625017, Hangar
53.3445794 -6.2658339000000005, Sin
53.345976 -6.2695992, Sin É
53.34577610000001 -6.2711082000000005, Fibbers Rock Bar
53.345639299999995 -6.2717761, O'Reilly Bros.
53.345711 -6.2721255, The Legal Eagle
53.346958400000005 -6.2723297, M. Hughes
53.34800429999999 -6.262152599999999, Wigwam
53.3479699 -6.2624624, Adelphi
53.344862600000006 -6.257582299999999, Senior Common Room
53.34212579999999 -6.2548307, The Blarney Inn
53.34211510000001 -6.2547398, Club Nassau
53.3420082 -6.2525255, Lincoln's Inn
53.342225899999995 -6.250799099999999, Kennedys
53.3418488 -6.2495572, The Gingerman
53.3426963 -6.252924500000001, The Pavilion
53.3441892 -6.2490239, The Lombard
53.345276500000004 -6.2483476, The Wind Jammer
53.3459067 -6.2519855, Ned's
53.3449067 -6.252421400000001, O'Neill's of Pearse Street
53.34483710000001 -6.2521202, The Trinity Inn
53.34332729999999 -6.244758200000001, Padraig Pearse
53.34084300000001 -6.244782, The Square Ball
53.3397024 -6.2420989, Becky Morgan's
53.339127399999995 -6.2455261, Howl at the Moon
53.338370999999995 -6.243188, Oil Can Harry's
53.33791239999999 -6.2428578, Scruffy Murphy's
53.3363547 -6.236776, Beggar's Bush (Jack Ryans)
53.3362221 -6.2366936, café Ballsbridge
53.33706479999999 -6.2340815, The Chophouse
53.3373041 -6.2342153, Slattery's (B)
53.3373906 -6.2321754, The Bath
53.337346700000005 -6.233234599999999, The Old Spot (The Lansdowne)
53.3379836 -6.2375013, The Gasworks
53.343386100000004 -6.238878400000001, Cafe Bar H
53.3443491 -6.2381779, HQ
53.346007799999995 -6.240693, Ferryman
53.3470317 -6.2376973, The Boat
53.3487544 -6.2285572, Hemidemisemiquaver Bar
53.3498005 -6.2299289, The Green Room
53.341706499999994 -6.227773, Oarsman
53.3417218 -6.227661400000001, John Clarke and Sons
53.3417321 -6.2275498, Raytown Bar
53.342377899999995 -6.2276472, The Ship Wright Public House
53.3346288 -6.2424252000000005, The Fifty One
53.3347803 -6.2434362, Smyth's
53.33386039999999 -6.245307, The Wellington
53.3362743 -6.2485692, Olive Green
53.3370247 -6.2516717, Matt the Thresher
53.338273 -6.253665, Reilly's
53.33831729999999 -6.2537444, Foley's
53.338179700000005 -6.2542886, O'Donoghue's
53.3379225 -6.2540837, Ely Wine Bar
